start_date,distance [km],average_speed [km/h],max_speed [km/h],moving_time [min],total_elevation_gain [m],type,gear_id,kilojoules
2023-05-12T05:04:02Z,13.114,18.1008,39.22560000000001,43.47,99.8,Ride,b10386566,354.4
2023-05-10T14:21:13Z,11.2177,13.8672,80.4636,48.53,83.9,Ride,b7982751,305.3
2023-05-10T05:16:14Z,11.6477,17.208000000000002,80.0136,40.62,77.0,Ride,b7982751,330.9
2023-05-09T14:12:27Z,11.4965,19.803600000000003,82.4724,34.83,54.9,Ride,b7982751,239.7
2023-05-09T05:12:49Z,13.483,16.9848,52.776,47.63,103.8,Ride,b7982751,467.0
2023-05-08T08:10:17Z,43.428599999999996,15.065999999999999,34.8768,172.97,394.0,Ride,b10386566,1179.7
2023-05-06T15:46:58Z,14.776200000000001,14.814000000000002,39.535199999999996,59.85,193.4,Ride,b7982758,459.0
2023-05-05T13:50:53Z,28.9713,15.8508,68.90400000000001,109.67,219.2,Ride,b10386566,822.8
2023-05-03T14:10:04Z,19.6919,14.860800000000001,47.21040000000001,79.5,210.1,Ride,b10386566,576.1
2023-05-03T04:50:00Z,12.994,19.450799999999997,42.516000000000005,40.08,97.2,Ride,b10386566,341.8
2023-05-02T16:51:32Z,7.0631,7.776000000000001,25.401600000000002,54.5,118.5,Run,,
2023-05-02T14:01:16Z,12.4486,19.476000000000003,39.8016,38.35,68.8,Ride,b10386566,291.5
2023-05-02T04:54:44Z,13.1174,19.692,52.977599999999995,39.97,96.8,Ride,b10386566,349.9
2023-05-01T12:04:17Z,57.2347,14.2956,51.1704,240.23,531.7,Ride,b10386566,1926.1
2023-04-26T14:36:16Z,11.8088,19.447200000000002,38.376000000000005,36.43,68.5,Ride,b10386566,268.9
2023-04-26T05:20:14Z,13.1492,16.614,47.2248,47.48,96.8,Ride,b10386566,336.0
2023-04-25T15:43:11Z,10.1634,6.7608,40.1976,90.18,157.4,Ride,b10386566,581.5
2023-04-25T14:24:46Z,14.111600000000001,17.5284,45.8496,48.3,82.7,Ride,b10386566,339.8
2023-04-25T05:20:39Z,13.048,19.6632,44.4996,39.82,93.2,Ride,b10386566,364.0
2023-04-22T11:26:31Z,28.9004,14.720400000000001,44.7048,117.78,303.6,Ride,b10386566,943.2
2023-04-21T14:02:46Z,12.2476,21.229200000000002,45.0,34.62,68.6,Ride,b10386566,312.5
2023-04-21T04:48:06Z,13.134,19.119600000000002,43.8696,41.22,96.8,Ride,b10386566,340.0
2023-04-19T15:07:52Z,42.0781,17.424,49.564800000000005,144.9,426.7,Ride,b10386566,1163.9
2023-04-18T14:04:41Z,16.962799999999998,10.5264,46.3104,96.68,152.0,Ride,b7982751,811.2
2023-04-18T05:03:53Z,13.2068,17.2836,37.8648,45.85,97.0,Ride,b7982751,448.8
2023-04-17T14:45:57Z,16.4857,5.6808000000000005,44.568000000000005,174.12,71.8,Ride,b7982751,1060.8
2023-04-17T04:59:50Z,13.251,18.2088,50.292,43.67,97.3,Ride,b7982751,426.5
2023-04-12T14:12:13Z,11.7702,19.4904,45.640800000000006,36.23,69.0,Ride,b7982751,396.2
2023-04-12T05:37:42Z,12.017,17.305200000000003,36.9,41.67,91.1,Ride,b7982751,412.9
2023-04-12T04:37:13Z,4.7623999999999995,7.297200000000001,43.257600000000004,39.15,74.0,Ride,b7982751,269.2
2023-04-05T14:20:15Z,12.6388,20.034000000000002,49.356,37.85,68.7,Ride,b10386566,303.7
2023-04-05T04:59:08Z,13.514100000000001,17.964000000000002,47.034,45.13,98.0,Ride,b10386566,365.2
2023-04-03T14:33:13Z,13.2799,17.636400000000002,46.71360000000001,45.18,107.2,Ride,b10386566,346.9
2023-04-03T04:55:10Z,12.827,19.296000000000003,47.419200000000004,39.88,90.9,Ride,b10386566,349.8
2023-03-22T15:58:20Z,14.487200000000001,11.8404,48.0204,73.42,192.0,Ride,b10386566,523.0
2023-03-21T15:11:29Z,14.0737,20.4444,43.632,41.3,82.3,Ride,b10386566,355.1
2023-03-21T06:01:46Z,12.7973,19.8936,39.052800000000005,38.6,90.8,Ride,b10386566,350.4
2023-03-02T11:00:44Z,12.1537,5.9616,29.52,122.35,396.6,NordicSki,,
2023-03-02T07:21:25Z,4.4657,8.035200000000001,11.124,33.35,199.1,Walk,,
2023-02-19T11:44:00Z,9.6051,8.2656,70.2504,69.73,125.6,BackcountrySki,,
2023-02-14T14:11:45Z,12.1845,18.979200000000002,46.1592,38.52,68.9,Ride,b10386566,319.6
2023-02-14T05:52:15Z,12.915700000000001,17.7588,33.5448,43.63,90.9,Ride,b10386566,334.3
2023-02-05T11:11:40Z,10.6262,5.382000000000001,26.676000000000002,118.47,136.4,BackcountrySki,,
2023-01-20T15:40:57Z,5.4814,6.0912,24.1308,53.98,57.7,Walk,,
2023-01-10T17:16:47Z,9.2409,15.3108,49.086,36.22,61.9,Ride,b10386566,251.9
2022-12-18T10:34:21Z,8.1475,7.2467999999999995,35.1936,67.45,116.2,BackcountrySki,,
2022-12-17T09:00:23Z,9.8077,7.938000000000001,42.0624,74.13,115.8,BackcountrySki,,
2022-11-13T12:08:34Z,2.7269,8.7048,20.2176,18.8,108.0,Run,,
2022-11-11T06:17:35Z,4.355600000000001,8.766,20.952,29.82,88.3,Run,,
2022-11-09T06:36:45Z,3.2756999999999996,9.6912,17.3376,20.28,86.0,Run,,
2022-11-08T15:16:22Z,12.559700000000001,18.799200000000003,43.538399999999996,40.08,69.1,Ride,b10386566,326.5
2022-11-08T06:27:23Z,12.8188,18.9828,43.1352,40.52,91.4,Ride,b10386566,338.3
2022-11-06T14:04:04Z,29.6891,13.2048,43.8408,134.88,129.4,Ride,b10386566,914.1
2022-10-14T07:29:13Z,18.9867,4.662,15.5952,244.45,233.5,Walk,,
2022-10-13T08:50:12Z,14.9099,3.9996,10.332,223.6,535.3,Walk,,
2022-10-12T10:17:54Z,17.9463,4.1148,20.2176,261.78,481.8,Walk,,
2022-10-10T14:14:28Z,13.8288,21.5244,47.196,38.55,82.3,Ride,b10386566,316.1
2022-10-10T05:02:30Z,12.055299999999999,19.98,42.156000000000006,36.2,93.2,Ride,b10386566,328.1
2022-10-09T12:41:40Z,27.0865,17.773200000000003,41.8104,91.43,321.8,Ride,b10386566,712.4
2022-10-09T08:27:56Z,31.022,19.9224,47.4912,93.43,333.0,Ride,b10386566,846.3
2022-10-05T14:21:00Z,15.1255,16.8336,42.3936,53.92,133.7,Ride,b10386566,420.0
2022-10-05T04:44:40Z,12.927200000000001,19.62,46.1448,39.53,90.8,Ride,b10386566,358.1
2022-10-04T14:23:20Z,29.373099999999997,12.654,46.483200000000004,139.27,256.3,Ride,b10386566,843.3
2022-10-04T05:22:58Z,12.9425,16.0488,46.2024,48.38,91.4,Ride,b10386566,457.4
2022-09-29T14:13:34Z,12.505600000000001,21.6144,51.8904,34.72,69.2,Ride,b10386566,313.3
2022-09-29T05:02:59Z,12.8185,20.0124,42.2208,38.43,91.2,Ride,b10386566,331.9
2022-09-22T14:07:28Z,12.6496,20.9952,42.12,36.15,71.7,Ride,b10386566,328.7
2022-09-22T05:04:19Z,13.221,17.8056,38.9232,44.55,96.7,Ride,b10386566,358.8
2022-09-13T14:46:31Z,12.6733,19.040399999999998,44.409600000000005,39.93,69.7,Ride,b10386566,290.0
2022-09-12T11:09:58Z,53.2954,17.0532,48.0744,187.5,372.8,Ride,b10386566,1452.9
2022-09-12T05:07:15Z,13.1575,18.8712,42.7536,41.83,96.2,Ride,b10386566,348.3
2022-09-09T12:58:05Z,1.7093,22.2948,44.9136,4.6,17.4,Ride,b10386566,57.4
2022-09-09T05:32:47Z,12.0877,22.032,52.632,32.92,93.6,Ride,b10386566,338.5
2022-09-04T09:46:58Z,13.8954,20.6712,35.9136,40.33,63.9,Ride,b10386566,348.1
2022-09-03T08:50:41Z,72.98960000000001,18.1548,58.9608,241.23,548.2,Ride,b10386566,2003.0
2022-09-02T12:24:16Z,12.6214,21.8988,45.3888,34.58,69.1,Ride,b10386566,327.1
2022-09-02T05:02:32Z,13.1144,18.223200000000002,39.614399999999996,43.18,97.1,Ride,b10386566,385.3
2022-08-29T14:11:39Z,12.4703,20.998800000000003,46.62,35.63,69.0,Ride,b7982751,382.8
2022-08-29T05:21:34Z,12.5719,19.267200000000003,38.4048,39.15,93.0,Ride,b7982751,420.3
2022-08-17T14:23:09Z,11.9605,21.2832,50.976,33.72,68.7,Ride,b7982751,403.0
2022-08-17T04:54:20Z,11.7881,21.6864,85.39920000000001,32.62,91.7,Ride,b7982751,395.6
2022-08-15T14:23:26Z,16.537599999999998,14.0652,42.408,70.55,166.1,Ride,b7982751,615.1
2022-08-15T05:02:34Z,14.283700000000001,19.0152,36.986399999999996,45.07,104.7,Ride,b7982751,451.8
2022-08-14T11:50:37Z,32.3162,13.276800000000001,36.72,146.05,188.1,Ride,b10386566,856.4
2022-08-11T14:45:03Z,12.168299999999999,21.2544,47.095200000000006,34.35,69.1,Ride,b10386566,272.8
2022-08-11T05:15:21Z,12.523200000000001,19.9476,38.2536,37.67,93.5,Ride,b7982751,417.7
2022-08-02T14:43:29Z,15.180299999999999,18.8964,49.622400000000006,48.2,147.9,Ride,b10386566,408.5
2022-08-02T04:44:01Z,12.382299999999999,21.852,37.382400000000004,34.0,95.9,Ride,b10386566,328.8
2022-08-01T14:36:13Z,12.880700000000001,22.8312,50.6772,33.85,75.2,Ride,b10386566,322.7
2022-08-01T04:56:38Z,11.88,23.958000000000002,43.4304,29.75,93.7,Ride,b10386566,344.2
2022-07-11T14:16:23Z,12.3295,21.4128,50.1948,34.55,69.0,Ride,b10386566,302.3
2022-07-11T05:19:39Z,12.7064,22.554,42.984,33.8,91.3,Ride,b10386566,246.6
2022-07-10T09:28:45Z,15.385299999999999,4.553999999999999,10.490400000000001,202.72,420.4,Walk,,
2022-07-08T14:01:27Z,49.1877,18.788400000000003,54.6912,157.08,347.7,Ride,b10386566,1261.5
2022-07-07T14:17:05Z,13.128,17.168400000000002,44.1864,45.88,74.4,Ride,b10386566,306.5
2022-07-07T05:35:48Z,12.833,19.7424,46.6272,39.0,91.9,Ride,b10386566,326.0
2022-07-03T09:41:01Z,43.8494,9.7992,62.647200000000005,268.5,719.1,Ride,b10386566,1946.8
2022-07-02T08:44:51Z,41.7401,12.4128,54.1872,201.73,749.3,Ride,b10386566,1518.5
2022-06-30T14:45:48Z,12.5517,21.2328,47.0592,35.47,69.2,Ride,b10386566,304.5
2022-06-30T05:08:36Z,12.9193,17.992800000000003,47.124,43.08,93.8,Ride,b10386566,350.3
2022-06-28T15:11:46Z,1.7566,10.486799999999999,27.3888,10.05,2.5,Ride,b10386566,50.0
2022-06-28T14:13:52Z,13.9154,18.882,42.7752,44.22,82.3,Ride,b10386566,339.0
2022-06-28T04:51:41Z,12.730799999999999,19.0548,35.4348,40.08,91.1,Ride,b10386566,341.6
2022-06-27T14:31:51Z,19.0269,6.534,44.2944,174.77,140.3,Ride,b10386566,978.6
2022-06-27T05:22:00Z,12.962399999999999,17.3088,38.952000000000005,44.93,94.5,Ride,b10386566,361.0
2022-06-26T07:16:21Z,25.396,13.356,44.6616,114.1,322.9,Ride,b10386566,863.1
